Name,Duration (secs),C_Done?,N_Done?,video
1.0 Our Solution,,Yes,Yes,PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/OurSolution.mp4
,,No,No,
,,No,No,
2.1 since 2022,6.23,Yes,No,PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/Readthrough.mp4
,,No,No,
2.2 Ntn → FB,7,Yes,Yes,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/ntn_to_fb.mp4
,,No,No,
3.2 Onboard → Bio,12.13,Yes,Yes,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_to_bio_left.mp4
3.3 Onboard → Reco,9.06,Yes,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_scholar_match_left.mp4, ../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_scholar_match_right.mp4"
,,No,No,
4.1 Achi Track,10.09,Yes,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/AchiTracker.mp4, PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/YELLOW_AchiTracker.mp4"
4.2 F Essays,10.06,Yes,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/FoundationalEssays.mp4, ../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/FoundationalEssay_New.mp4"
4.3 S Essays,8.16,Yes,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/SuperEssay.mp4, PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/YELLOW_SuperEssay.mp4"
4.4 Quick Note,,No,No,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/quick_note.mp4
,,No,No,
5.2 MathyYou,12.7,Yes,Yes,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/MathyYou.mp4
5.3 Fluent,11.2,Yes,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/Fluent.mp4, ../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/Fluent_pre.mp4"