Name,Assign,Priority,Property,Status
Make Group template structure,Carl Kho,P0 - Urgent,"September 24, 2021 4:27 AM",In progress
Branding (Creative),Carl Kho,P0 - Urgent,"September 24, 2021 4:27 AM",Completed
indiv Org consent,Carl Kho,P1 - Important,"September 29, 2021 7:42 AM",In progress
Legal not liable form?,,P1 - Important,"September 24, 2021 4:27 AM",Not started
Ask local gov't for Active Orgs,,P1 - Important,"September 24, 2021 4:27 AM",Not started
Get to know Viber Group,"Carl Kho, Lenli Tuhoy",P2 - Do when free,"September 24, 2021 4:27 AM",Not started
Branding (Culture),,P2 - Do when free,"September 24, 2021 4:27 AM",In progress
Marketing with 1G1C / Rice Movement,,P2 - Do when free,"September 24, 2021 4:27 AM",Not started
OrgRecipient Application Form,,P2 - Do when free,"September 24, 2021 4:27 AM",Not started
Banner Ads | Method to Send,,P3 - Nice to have,"September 24, 2021 11:02 PM",Not started
Studies to aid the need of our solution,,P3 - Nice to have,"September 24, 2021 6:10 AM",Not started
Connect with restaurants to give leftover food,,P3 - Nice to have,"September 24, 2021 4:27 AM",Not started
Request Feature,,P3 - Nice to have,"September 24, 2021 4:27 AM",Not started