D. SEO,Result
Pages have unique titles,PassFailN/A
Pages have unique meta descriptions,PassFailN/A
Metadata properly in place for content in an RSS feed,PassFailN/A
Metadata in place for social media sharing,PassFailN/A
Spelling and grammar are all correct in metadata,PassFailN/A
Alt tags have been added to every image,PassFailN/A
URLs consistently reflect site info architecture,PassFailN/A
301 redirects are in place for all old URLs,PassFailN/A
"rel=""nofollow"" tags in place on applicable links/pages",PassFailN/A
A dynamic XML sitemap has been created,PassFailN/A
XML sitemap has been submitted to search engines,PassFailN/A