Name,Created,Date,For which scholarship?,Foundational Essay Type,IsFoundational,isAIGenerated?
Sample — Tell us About You,"August 1, 2024 12:24 AM",,,Tell us About You,Yes,No
Sample — How Are You Unique?,"August 6, 2024 6:14 PM",,"XYZ Scholarship Name (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/XYZ%20Scholarship%20Name%204a7a4f9ce3ae49a1873a7baa70a0b178.md), GHI Scholarship (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/GHI%20Scholarship%20da3b6b5f20b14d70b824ed4fd9623d3e.md), ABC Scholarship Name (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/ABC%20Scholarship%20Name%203c7595106866434db7d4b9e7fad2cf1c.md)",,Yes,No
Sample — Tell Us About a Time You Failed and What You Learned From It,"August 6, 2024 6:16 PM",,,,Yes,No
Sample — What Are Your Academic and Career Goals?,"August 6, 2024 6:18 PM",,,,Yes,No
Sample — How Have You Contributed to Your Community?,"August 6, 2024 6:19 PM",,,,Yes,No
Sample — Why Do You Deserve This Scholarship?,"August 6, 2024 6:19 PM",,,,Yes,No
Sample — How Will This Scholarship Help You?,"August 6, 2024 6:20 PM",,,,Yes,No
Sample — What Impact Has Sports Had on Your Life?,"August 6, 2024 6:21 PM",,,,Yes,No
Sample — Why Do You Want to Study/Pursue [X]?,"August 6, 2024 6:21 PM",,"XYZ Scholarship Name (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/XYZ%20Scholarship%20Name%204a7a4f9ce3ae49a1873a7baa70a0b178.md), DEF Scholarship (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/DEF%20Scholarship%2078c21ae16698449497a461b8b332d018.md), ABC Scholarship Name (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/ABC%20Scholarship%20Name%203c7595106866434db7d4b9e7fad2cf1c.md), GHI Scholarship (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/GHI%20Scholarship%20da3b6b5f20b14d70b824ed4fd9623d3e.md)",,Yes,No
Sample — Tell Us About a Time When You Had a Belief or Idea Challenged,"August 6, 2024 6:22 PM",,,,Yes,No
Why pursue Computer Science?,"August 12, 2024 8:22 PM",,XYZ Scholarship Name (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/XYZ%20Scholarship%20Name%204a7a4f9ce3ae49a1873a7baa70a0b178.md),,No,Yes
Harvard — Supplementary Essay,"August 12, 2024 9:33 PM",,ABC Scholarship Name (View%20all%20Scholarships%200bfd5ee3155349a5a0fbf49fe4d77bd5/Archive%20%E2%80%94%20Staff%20Only%20eb32317859204599b43d64e5ac9df135/Original%20Database%20501046d5777845e9830fae0f0b8049d7/Scholarship%20List%20for%20Padayun%20Ko%209b7abeffe93745a385428b4f38559d1e/ABC%20Scholarship%20Name%203c7595106866434db7d4b9e7fad2cf1c.md),,No,No
Commitment to Environmental Conservation,"December 23, 2024 9:45 AM",,,,No,No