Name,C_Done?,Duration (secs),N_Done?,video
1.0 Our Solution,No,,No,
4.4 Quick Note,No,,No,Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/quick_note.mp4
,No,,No,
3.2 Onboard → Bio,No,12.13,No,Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_to_bio_left.mp4
4.3 S Essays,No,8.16,No,Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/SuperEssay.mp4
3.3 Onboard → Reco,No,9.06,No,"Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_scholar_match_left.mp4, Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_scholar_match_right.mp4"
,No,,No,
2.1 since 2022,No,6.23,No,Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/PadayonKo_Old.mp4
2.2 Ntn → FB,No,7,No,Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/ntn_to_fb.mp4
4.2 F Essays,No,10.06,No,"Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/FoundationalEssays.mp4, Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/FoundationalEssay_New.mp4"
,No,,No,
,No,,No,
5.3 Fluent,No,11.2,No,"Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/Fluent.mp4, Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/Fluent_pre.mp4"
4.1 Achi Track,No,10.09,No,Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/AchiTracker.mp4
5.2 MathyYou,No,12.7,No,Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/MathyYou.mp4